GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simple-app,program.sample.controller,Calculator,33,27,2,0,7,5,3,3,2,3
simple-app,program.sample.controller,Application,51,0,0,0,14,0,2,0,2,0
